37,72,71,52,161,-1,163,35,155,31,76,304.0,111,8
37,72,71,53,112,-1,113,12,135,18,18,72.0,117,9
37,72,71,54,134,-1,135,18,160,33,18,72.0,117,9
37,72,71,55,158,-1,160,33,152,29,18,72.0,117,9
37,72,71,56,105,-1,106,10,142,23,12,48.0,110,10
37,72,71,57,140,-1,142,23,163,35,12,48.0,110,10
37,72,71,59,161,-1,163,35,152,29,12,48.0,110,10
37,72,71,60,39,-1,106,10,0,1,3387,3387.0,105,1
37,72,71,61,39,-1,113,12,0,1,1573,1573.0,112,2
37,72,71,62,39,-1,135,18,0,2,1018,2036.0,115,3
37,72,71,63,39,-1,142,23,0,2,801,1602.0,108,4
38,76,75,120,119,119,-1,-1,-1,-1,.,.,-1,.
38,76,75,135,134,134,-1,-1,-1,-1,.,.,-1,.
38,76,75,127,126,126,-1,-1,-1,-1,.,.,-1,.
38,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
38,76,75,142,140,140,-1,-1,-1,-1,.,.,-1,.
38,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
38,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
38,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
38,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
38,72,71,58,119,-1,120,14,135,18,1695,3390.0,122,2
38,72,71,65,119,-1,120,14,135,18,338,1014.0,123,4
38,72,71,66,134,-1,135,18,149,27,338,1014.0,123,4
38,72,71,67,126,-1,127,16,142,23,272,544.0,129,5
38,72,71,68,119,-1,120,14,135,18,157,628.0,125,6
38,72,71,69,134,-1,135,18,160,33,157,628.0,125,6
38,72,71,70,158,-1,160,33,155,31,157,628.0,125,6
38,72,71,48,126,-1,127,16,142,23,76,228.0,130,7
38,72,71,49,140,-1,142,23,149,27,76,228.0,130,7
38,72,71,50,119,-1,120,14,135,18,5,20.0,124,8
38,72,71,51,134,-1,135,18,160,33,5,20.0,124,8
38,72,71,52,158,-1,160,33,152,29,5,20.0,124,8
38,72,71,53,126,-1,127,16,142,23,4,16.0,132,9
38,72,71,54,140,-1,142,23,163,35,4,16.0,132,9
38,72,71,55,161,-1,163,35,155,31,4,16.0,132,9
38,72,71,56,126,-1,127,16,142,23,2,8.0,131,10
38,72,71,57,140,-1,142,23,163,35,2,8.0,131,10
38,72,71,59,161,-1,163,35,152,29,2,8.0,131,10
38,72,71,60,39,-1,120,14,0,1,4916,4916.0,119,1
38,72,71,61,39,-1,135,18,0,2,1695,3390.0,122,2
38,72,71,62,39,-1,127,16,0,1,700,700.0,126,3
38,72,71,63,39,-1,142,23,0,2,272,544.0,129,5
40,76,75,120,119,119,-1,-1,-1,-1,.,.,-1,.
40,76,75,135,134,134,-1,-1,-1,-1,.,.,-1,.
40,76,75,127,126,126,-1,-1,-1,-1,.,.,-1,.
40,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
40,76,75,142,140,140,-1,-1,-1,-1,.,.,-1,.
40,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
40,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
40,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
40,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
40,72,71,58,119,-1,120,14,135,18,1363,2726.0,122,2
40,72,71,65,119,-1,120,14,135,18,469,1407.0,123,4
40,72,71,66,134,-1,135,18,149,27,469,1407.0,123,4
40,72,71,67,126,-1,127,16,142,23,392,784.0,129,5
40,72,71,68,119,-1,120,14,135,18,263,1052.0,125,6
40,72,71,69,134,-1,135,18,160,33,263,1052.0,125,6
40,72,71,70,158,-1,160,33,155,31,263,1052.0,125,6
40,72,71,48,126,-1,127,16,142,23,166,498.0,130,7
40,72,71,49,140,-1,142,23,149,27,166,498.0,130,7
40,72,71,50,126,-1,127,16,142,23,22,88.0,132,8
40,72,71,51,140,-1,142,23,163,35,22,88.0,132,8
40,72,71,52,161,-1,163,35,155,31,22,88.0,132,8
40,72,71,53,119,-1,120,14,135,18,19,76.0,124,9
40,72,71,54,134,-1,135,18,160,33,19,76.0,124,9
40,72,71,55,158,-1,160,33,152,29,19,76.0,124,9
40,72,71,56,126,-1,127,16,142,23,6,24.0,131,10
40,72,71,57,140,-1,142,23,163,35,6,24.0,131,10
40,72,71,59,161,-1,163,35,152,29,6,24.0,131,10
40,72,71,60,39,-1,120,14,0,1,3661,3661.0,119,1
40,72,71,61,39,-1,135,18,0,2,1363,2726.0,122,2
40,72,71,62,39,-1,127,16,0,1,829,829.0,126,3
40,72,71,63,39,-1,142,23,0,2,392,784.0,129,5
41,76,75,106,105,105,-1,-1,-1,-1,.,.,-1,.
41,76,75,113,112,112,-1,-1,-1,-1,.,.,-1,.
41,76,75,135,134,134,-1,-1,-1,-1,.,.,-1,.
41,76,75,142,140,140,-1,-1,-1,-1,.,.,-1,.
41,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
41,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
41,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
41,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
41,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
41,72,71,64,112,-1,113,12,135,18,636,1272.0,115,3
41,72,71,65,105,-1,106,10,142,23,518,1036.0,108,4
41,72,71,66,105,-1,106,10,142,23,227,681.0,109,5
41,72,71,67,140,-1,142,23,149,27,227,681.0,109,5
41,72,71,68,112,-1,113,12,135,18,194,582.0,116,6
41,72,71,69,134,-1,135,18,149,27,194,582.0,116,6
41,72,71,70,112,-1,113,12,135,18,116,464.0,118,7
41,72,71,48,134,-1,135,18,160,33,116,464.0,118,7
41,72,71,49,158,-1,160,33,155,31,116,464.0,118,7
41,72,71,50,105,-1,106,10,142,23,46,184.0,111,8
41,72,71,51,140,-1,142,23,163,35,46,184.0,111,8
41,72,71,52,161,-1,163,35,155,31,46,184.0,111,8
41,72,71,53,112,-1,113,12,135,18,11,44.0,117,9
41,72,71,54,134,-1,135,18,160,33,11,44.0,117,9
41,72,71,55,158,-1,160,33,152,29,11,44.0,117,9
41,72,71,56,105,-1,106,10,142,23,6,24.0,110,10
41,72,71,57,140,-1,142,23,163,35,6,24.0,110,10
41,72,71,59,161,-1,163,35,152,29,6,24.0,110,10
41,72,71,60,39,-1,106,10,0,1,2416,2416.0,105,1
41,72,71,61,39,-1,113,12,0,1,1117,1117.0,112,2
41,72,71,62,39,-1,135,18,0,2,636,1272.0,115,3
41,72,71,63,39,-1,142,23,0,2,518,1036.0,108,4
42,76,75,85,84,84,-1,-1,-1,-1,.,.,-1,.
42,76,75,145,143,143,-1,-1,-1,-1,.,.,-1,.
42,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
42,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
42,76,75,79,77,77,-1,-1,-1,-1,.,.,-1,.
42,76,75,139,137,137,-1,-1,-1,-1,.,.,-1,.
42,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
42,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
42,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
42,72,71,47,84,-1,85,4,145,25,10393,41572.0,89,1
42,72,71,58,143,-1,145,25,163,35,10393,41572.0,89,1
42,72,71,64,161,-1,163,35,152,29,10393,41572.0,89,1
42,72,71,66,77,-1,79,3,139,21,2237,8948.0,82,3
42,72,71,67,137,-1,139,21,160,33,2237,8948.0,82,3
42,72,71,68,158,-1,160,33,152,29,2237,8948.0,82,3
42,72,71,69,84,-1,85,4,145,25,2067,8268.0,90,4
42,72,71,70,143,-1,145,25,163,35,2067,8268.0,90,4
42,72,71,48,161,-1,163,35,155,31,2067,8268.0,90,4
42,72,71,49,84,-1,85,4,145,25,1241,3723.0,88,5
42,72,71,50,143,-1,145,25,149,27,1241,3723.0,88,5
42,72,71,52,77,-1,79,3,139,21,519,2076.0,83,7
42,72,71,53,137,-1,139,21,160,33,519,2076.0,83,7
42,72,71,54,158,-1,160,33,155,31,519,2076.0,83,7
42,72,71,55,77,-1,79,3,139,21,165,495.0,81,8
42,72,71,56,137,-1,139,21,149,27,165,495.0,81,8
42,72,71,57,84,-1,85,4,145,25,117,234.0,87,9
42,72,71,59,77,-1,79,3,139,21,14,28.0,80,10
42,72,71,60,39,-1,85,4,0,1,2354,2354.0,84,2
42,72,71,61,39,-1,79,3,0,1,621,621.0,77,6
42,72,71,62,39,-1,145,25,0,2,117,234.0,87,9
42,72,71,63,39,-1,139,21,0,2,14,28.0,80,10
43,76,75,113,112,112,-1,-1,-1,-1,.,.,-1,.
43,76,75,135,134,134,-1,-1,-1,-1,.,.,-1,.
43,76,75,106,105,105,-1,-1,-1,-1,.,.,-1,.
43,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
43,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
43,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
43,76,75,142,140,140,-1,-1,-1,-1,.,.,-1,.
43,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
43,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
43,72,71,58,112,-1,113,12,135,18,2016,4032.0,115,2
43,72,71,65,112,-1,113,12,135,18,1551,4653.0,116,4
43,72,71,66,134,-1,135,18,149,27,1551,4653.0,116,4
43,72,71,67,112,-1,113,12,135,18,1187,4748.0,118,5
43,72,71,68,134,-1,135,18,160,33,1187,4748.0,118,5
43,72,71,69,158,-1,160,33,155,31,1187,4748.0,118,5
43,72,71,70,105,-1,106,10,142,23,815,2445.0,109,6
43,72,71,48,140,-1,142,23,149,27,815,2445.0,109,6
43,72,71,49,105,-1,106,10,142,23,554,1108.0,108,7
43,72,71,50,112,-1,113,12,135,18,302,1208.0,117,8
43,72,71,51,134,-1,135,18,160,33,302,1208.0,117,8
43,72,71,52,158,-1,160,33,152,29,302,1208.0,117,8
43,72,71,53,105,-1,106,10,142,23,195,780.0,111,9
43,72,71,54,140,-1,142,23,163,35,195,780.0,111,9
43,72,71,55,161,-1,163,35,155,31,195,780.0,111,9
43,72,71,56,105,-1,106,10,142,23,86,344.0,110,10
43,72,71,57,140,-1,142,23,163,35,86,344.0,110,10
43,72,71,59,161,-1,163,35,152,29,86,344.0,110,10
43,72,71,60,39,-1,113,12,0,1,2228,2228.0,112,1
43,72,71,61,39,-1,135,18,0,2,2016,4032.0,115,2
43,72,71,62,39,-1,106,10,0,1,1969,1969.0,105,3
43,72,71,63,39,-1,142,23,0,2,554,1108.0,108,7
44,76,75,99,98,98,-1,-1,-1,-1,.,.,-1,.
44,76,75,139,137,137,-1,-1,-1,-1,.,.,-1,.
44,76,75,160,158,158,-1,-1,-1,-1,.,.,-1,.
44,76,75,155,153,153,-1,-1,-1,-1,.,.,-1,.
44,76,75,92,91,91,-1,-1,-1,-1,.,.,-1,.
44,76,75,152,150,150,-1,-1,-1,-1,.,.,-1,.
44,76,75,149,147,147,-1,-1,-1,-1,.,.,-1,.
44,76,75,145,143,143,-1,-1,-1,-1,.,.,-1,.
44,76,75,163,161,161,-1,-1,-1,-1,.,.,-1,.
44,72,71,58,98,-1,99,8,139,21,3035,12140.0,104,2
44,72,71,64,137,-1,139,21,160,33,3035,12140.0,104,2
44,72,71,65,158,-1,160,33,155,31,3035,12140.0,104,2
44,72,71,67,98,-1,99,8,139,21,1361,5444.0,103,4
44,72,71,68,137,-1,139,21,160,33,1361,5444.0,103,4
44,72,71,69,158,-1,160,33,152,29,1361,5444.0,103,4
44,72,71,70,98,-1,99,8,139,21,802,2406.0,102,5
44,72,71,48,137,-1,139,21,149,27,802,2406.0,102,5
